LOCATIONID;X1;Y1;Z1;.....;Xn;Yn;Zn;(Profiel)A9;A10;A11;A12;A13;A14;A15;A16;A17;A18;A19;A20;A21;A22;A23;A24;A25;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35;A36;A37;A38;A39;A40;A41;A42;A43;A44;A45;A46;A47;A48;A49;A50;A51;A52;A53;A54;A55;A56;A57;A58;A59;A60;A61;A62;A63;A64;A65;A66;A67;A68;A69;A70;A71;A72;A73;A74;A75;A76;A77;A78;A79;A80;A81;A82;A83;A84;A85;A86;A87;A88;A89;A90;A91;A92;A93;A94;A95;A96;A97;A98;A99;A100;A101;A102;A103;A104;A105;A106;A107;A108;A109;A110;A111;A112;A113;A114;A115;A116;A117;A118;A119;A120;A121;A122;A123;A124;A125;A126;A127;A128;A129;A130;A131;A132;A133;A134;A135;A136;A137;A138;A139;A140;A141;A142;A143;A144;A145;A146;A147;A148;A149;A150;A151;A152;A153;A154;A155;A156;A157;A158;A159;A160;A161;A162;A163;A164;A165;A166;A167;A168;A169;A170;A171;A172;A173;A174;A175;A176;A177;A178;A179;A180;A181;A182;A183;A184;A185;A186;A187;A188;A189;A190;A191;A192;A193;A194;A195;A196;A197;A198;A199;A200;A201;A202;A203;A204;A205;A206;A207;A208;A209;A210;A211;A212;A213;A214;A215;A216;A217;A218;A219;A220;A221;A222;A223;A224;A225;A226;A227;A228;A229;A230;A231;A232;A233;A234;A235;A236;A237;A238;A239;A240;A241;A242;A243;A244;A245;A246;A247;A248;A249;A250;A251;A252;A253;A254;A255;A256;A257;A258;A259;A260;A261;A262;A263;A264;A265;A266;A267;A268;A269;A270;A271;A272;A273;A274;A275;A276;A277;A278;A279;A280;A281;A282;A283;A284;A285;A286;A287;A288;A289;A290;A291;A292;A293;A294;A295;A296;A297;A298;A299;A300;A301;A302;A303;A304;A305;A306;A307;A308;A309;A310;A311;A312;A313;A314;A315;A316;A317;A318;A319;A320;A321;A322;A323;A324;A325;A326;A327;A328;A329;A330;A331;A332;A333;A334;A335;A336;A337;A338;A339;A340;A341;A342;A343;A344;A345;A346;A347;A348;A349;A350;A351;A352;A353;A354;A355;A356;A357;A358;A359;A360;A361;A362;A363;A364;A365;A366;A367;A368;A369;A370;A371;A372;A373;A374;A375;A376;A377;A378;A379;A380;A381;A382;A383;A384;A385;A386;A387;A388;A389;A390;A391;A392;A393;A394;A395;A396;A397;A398;A399;A400;A401;A402;A403;A404;A405;A406;A407;A408;A409;A410;A411;A412;A413;A414;A415;A416;A417;A418;A419;A420;A421;A422;A423;A424;A425;A426;A427;A428;A429;A430;A431;A432;A433;A434;A435;A436;A437;A438;A439;A440;A441;A442;A443;A444;A445;A446;A447;A448;A449;A450;A451;A452;A453;A454;A455;A456;A457;A458;A459;A460;A461;A462;A463;A464;A465;A466;A467;A468;A469;A470;A471;A472;A473;A474;A475;A476;A477;A478;A479;A480;A481;A482;A483;A484;A485;A486;A487;A488;A489;A490;A491;A492;A493;A494;A495;A496;A497;A498;A499;A500;A501;A502;A503;A504;A505;A506;A507;A508;A509;A510;A511;A512;A513;A514;A515;A516;A517;A518;A519;A520;A521;A522;A523;A524;A525;A526;A527;A528;A529;A530;A531;A532;A533;A534;A535;A536;A537;A538;A539;A540;A541;A542;A543;A544;A545;A546;A547;A548;A549;A550;A551;A552;A553;A554;A555;A556;A557;A558;A559;A560;A561;A562;A563;A564;A565;A566;A567;A568;A569;A570;A571;A572;A573;A574;A575;A576;A577;A578;A579;A580;A581;A582;A583;A584;A585;A586;A587;A588;A589;A590;A591;A592;A593;A594;A595;A596;A597;A598;A599;A600;A601;A602;A603;A604;A605;A606;A607;A608;A609;A610;A611;A612;A613;A614;A615;A616;A617;A618;A619;A620;A621;A622;A623;A624;A625;A626;A627;A628;A629;A630;A631;A632;A633;A634;A635;A636;A637;A638;A639;A640;A641;A642;A643;A644;A645;A646;A647;A648;A649;A650;A651;A652;A653;A654;A655;A656;A657;A658;A659;A660;A661;A662;A663;A664;A665;A666;A667;A668;A669;A670;A671;A672;A673;A674;A675;A676;A677;A678;A679;A680;A681;A682;A683;A684;A685;A686;A687;A688;A689;A690;A691;A692;A693;A694;A695;A696;A697;A698;A699;A700;A701;A702;A703;A704;A705;A706;A707;A708;A709;A710;A711;A712;A713;A714;A715;A716;A717;A718;A719;A720;A721;A722;A723;A724;A725;A726;A727;A728;A729;A730;A731;A732;A733;A734;A735;A736;A737;A738;A739;A740;A741;A742;A743;A744;A745;A746;A747;A748;A749;A750;A751;A752;A753;A754;A755;A756;A757;A758;A759;A760;A761;A762;A763;A764;A765;A766;A767;A768;A769;A770;A771;A772;A773;A774;A775;A776;A777;A778;A779;A780;A781;A782;A783;A784;A785;A786;A787;A788;A789;A790;A791;A792;A793;A794;A795;A796;A797;A798;A799;A800;A801;A802;A803;A804;A805;A806;A807;A808;A809;A810;A811;A812;A813;A814;A815;A816;A817;A818;A819;A820;A821;A822;A823;A824;A825;A826;A827;A828;A829;A830;A831;A832;A833;A834;A835;A836;A837;A838;A839;A840;A841;A842;A843;A844;A845;A846;A847;A848;A849;A850;A851;A852;A853;A854;A855;A856;A857;A858;A859;A860;A861;A862;A863;A864;A865;A866;A867;A868;A869;A870;A871;A872;A873;A874;A875;A876;A877;A878;A879;A880;A881;A882;A883;A884;A885;A886;A887;A888;A889;A890;A891;A892;A893;A894;A895;A896;A897;A898;A899;A900;A901;A902;A903;A904;A905;A906;A907;A908;A909;A910;A911;A912;A913;A914;A915;A916;A917;A918;A919;A920;A921;A922;A923;A924;A925;A926;A927;A928;A929;A930;A931;A932;A933;A934;A935;A936;A937;A938;A939;A940;A941;A942;A943;A944;A945;A946;A947;A948;A949;A950;A951;A952;A953;A954;A955;A956;A957;A958;A959;A960;A961;A962;A963;A964;A965;A966;A967;A968;A969;A970;A971;A972;A973;A974;A975;A976;A977;A978;A979;A980;A981;A982;A983;A984;A985;A986;A987;A988;A989;A990;A991;A992;A993;A994;A995;A996;A997;A998;A999;A1000;A1001;A1002;A1003;A1004;A1005;A1006;A1007;A1008;A1009;A1010;A1011;A1012;A1013;A1014;A1015;A1016;A1017;A1018;A1019;A1020;A1021;A1022;A1023;A1024;A1025;A1026;A1027;A1028;A1029;A1030;A1031;A1032;A1033;A1034;A1035;A1036;A1037;A1038;A1039;A1040;A1041;A1042;A1043;A1044;A1045;A1046;A1047;A1048;A1049;A1050;A1051;A1052;A1053;A1054;A1055;A1056;A1057;A1058;A1059;A1060;A1061;A1062;A1063;A1064;A1065;A1066;A1067;A1068;A1069;A1070;A1071;A1072;A1073;A1074;A1075;A1076;A1077;A1078;A1079;A1080;A1081;A1082;A1083;A1084;A1085;A1086;A1087;A1088;A1089;A1090;A1091;A1092;A1093;A1094;A1095;A1096;A1097;A1098;A1099;A1100;A1101;A1102;A1103;A1104;A1105;A1106;A1107;A1108;A1109;A1110;A1111;A1112;A1113;A1114;A1115;A1116;A1117;A1118;A1119;A1120;A1121;A1122;A1123;A1124;A1125;A1126;A1127;A1128;A1129;A1130;A1131;A1132;A1133;A1134;A1135;A1136;A1137;A1138;A1139;A1140;A1141;A1142;A1143;A1144;A1145;A1146;A1147;A1148;A1149;A1150;A1151;A1152;A1153;A1154;A1155;A1156;A1157;A1158;A1159;A1160;A1161;A1162;A1163;A1164;A1165;A1166;A1167;A1168;A1169;A1170;A1171;A1172;A1173;A1174;A1175;A1176;A1177;A1178;A1179;A1180;A1181;A1182;A1183;A1184;A1185;A1186;A1187;A1188;A1189;A1190;A1191
Vak1;210103.5483;460598.6425;6.313000202;210104.0531;460598.3614;6.302999973;210104.5578;460598.0802;6.321000099;210105.0626;460597.799;6.329999924;210105.5673;460597.5178;6.316999912;210106.0721;460597.2366;6.308000088;210106.5768;460596.9554;6.300000191;210107.0816;460596.6742;6.308000088;210107.5863;460596.393;6.309000015;210108.0911;460596.1118;6.289999962;210108.5959;460595.8306;6.337999821;210109.1006;460595.5494;6.336999893;210109.6054;460595.2682;6.336999893;210110.1101;460594.987;6.34499979;210110.6149;460594.7058;6.386000156;210111.1196;460594.4246;6.388999939;210111.6244;460594.1434;6.413000107;210112.1291;460593.8622;6.447000027;210112.6339;460593.581;6.532000065;210113.1386;460593.2998;6.613999844;210113.6434;460593.0187;6.68900013;210114.1481;460592.7375;6.822000027;210114.6529;460592.4563;6.886000156;210115.1577;460592.1751;7.017000198;210115.6624;460591.8939;7.153999805;210116.1672;460591.6127;7.260000229;210116.6719;460591.3315;7.420000076;210117.1767;460591.0503;7.552000046;210117.6814;460590.7691;7.590000153;210118.1862;460590.4879;7.633999825;210118.6909;460590.2067;7.669000149;210119.1957;460589.9255;7.703999996;210119.7004;460589.6443;7.760000229;210120.2052;460589.3631;7.80700016;210120.7099;460589.0819;7.859000206;210121.2147;460588.8007;7.94299984;210121.7195;460588.5195;8.093999863;210122.2242;460588.2383;8.269000053;210122.729;460587.9571;8.519000053;210123.2337;460587.676;8.706999779;210123.7385;460587.3948;8.930999756;210124.2432;460587.1136;9.104999542;210124.748;460586.8324;9.333000183;210125.2527;460586.5512;9.494999886;210125.7575;460586.27;9.704000473;210126.2622;460585.9888;9.949000359;210126.767;460585.7076;10.10900021;210127.2718;460585.4264;10.34399986;210127.7765;460585.1452;10.39700031;210128.2813;460584.864;10.36900043;210128.786;460584.5828;10.40299988;210129.2908;460584.3016;10.41699982;210129.7955;460584.0204;10.41600037;210130.3003;460583.7392;10.39599991;210130.805;460583.458;10.35400009;210131.3098;460583.1768;10.30700016;210131.8145;460582.8956;10.23799992;210132.3193;460582.6144;10.17800045;210132.824;460582.3333;10.12899971;210133.3288;460582.0521;10.02499962;210133.8336;460581.7709;9.901000023;210134.3383;460581.4897;9.734999657;210134.8431;460581.2085;9.611000061;210135.3478;460580.9273;9.461000443;210135.8526;460580.6461;9.359000206;210136.3573;460580.3649;9.241999626;210136.8621;460580.0837;9.055999756;210137.3668;460579.8025;8.930000305;210137.8716;460579.5213;8.791999817;210138.3763;460579.2401;8.631999969;210138.8811;460578.9589;8.517000198;210139.3858;460578.6777;8.376999855;210139.8906;460578.3965;8.225999832;210140.3954;460578.1153;8.112000465;210140.9001;460577.8341;8.036999702;210141.4049;460577.5529;7.971000195;210141.9096;460577.2717;7.926000118;210142.4144;460576.9906;7.964000225;210142.9191;460576.7094;7.934999943;210143.4239;460576.4282;7.962999821;210143.9286;460576.147;7.968999863;210144.4334;460575.8658;7.968999863;210144.9381;460575.5846;7.968999863;210145.4429;460575.3034;8.006999969;210145.9476;460575.0222;7.973999977;210146.4524;460574.741;7.997000217;210146.9572;460574.4598;8.01099968;210147.4619;460574.1786;8.008999825;210147.9667;460573.8974;7.993000031;210148.4714;460573.6162;7.90199995;210148.9762;460573.335;7.785999775;210149.4809;460573.0538;7.747000217;210149.9857;460572.7726;7.671000004;210150.4904;460572.4914;7.631999969;210150.9952;460572.2102;7.653999805;210151.4999;460571.929;7.672999859;210152.0047;460571.6479;7.681000233;210152.5094;460571.3667;7.671999931;210153.0142;460571.0855;7.665999889;210153.519;460570.8043;7.68200016;210154.0237;460570.5231;7.670000076;210154.0237;460570.5231;7.670000076;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vak2;210834.8646;458960.6366;7.460999966;210835.09;458961.1393;7.453000069;210835.3153;458961.6421;7.46600008;210835.5406;458962.1449;7.443999767;210835.7659;458962.6477;7.412000179;210835.9913;458963.1505;7.40199995;210836.2166;458963.6533;7.399000168;210836.4419;458964.1561;7.403999805;210836.6673;458964.6589;7.410999775;210836.8926;458965.1617;7.381999969;210837.1179;458965.6645;7.395999908;210837.3432;458966.1672;7.361000061;210837.5686;458966.67;7.382999897;210837.7939;458967.1728;7.420000076;210838.0192;458967.6756;7.40199995;210838.2445;458968.1784;7.418000221;210838.4699;458968.6812;7.436999798;210838.6952;458969.184;7.416999817;210838.9205;458969.6868;7.434000015;210839.1459;458970.1896;7.599999905;210839.3712;458970.6924;7.552000046;210839.5965;458971.1951;7.605000019;210839.8218;458971.6979;7.662000179;210840.0472;458972.2007;7.81799984;210840.2725;458972.7035;7.952000141;210840.4978;458973.2063;8.083000183;210840.7232;458973.7091;8.291999817;210840.9485;458974.2119;8.407999992;210841.1738;458974.7147;8.739999771;210841.3991;458975.2175;8.859000206;210841.6245;458975.7203;9.114999771;210841.8498;458976.223;9.295000076;210842.0751;458976.7258;9.571000099;210842.3004;458977.2286;9.68200016;210842.5258;458977.7314;9.970999718;210842.7511;458978.2342;10.05099964;210842.9764;458978.737;10.16899967;210843.2018;458979.2398;10.44200039;210843.4271;458979.7426;10.51000023;210843.6524;458980.2454;10.66699982;210843.8777;458980.7482;10.67599964;210844.1031;458981.2509;10.71100044;210844.3284;458981.7537;10.72599983;210844.5537;458982.2565;10.71800041;210844.7791;458982.7593;10.69699955;210845.0044;458983.2621;10.69799995;210845.2297;458983.7649;10.67199993;210845.455;458984.2677;10.63500023;210845.6804;458984.7705;10.43200016;210845.9057;458985.2733;10.34300041;210846.131;458985.7761;10.10000038;210846.3563;458986.2789;9.975000381;210846.5817;458986.7816;9.779000282;210846.807;458987.2844;9.654999733;210847.0323;458987.7872;9.404000282;210847.2577;458988.29;9.31400013;210847.483;458988.7928;9.213000298;210847.7083;458989.2956;9.104000092;210847.9336;458989.7984;9.05300045;210848.159;458990.3012;8.975999832;210848.3843;458990.804;8.965999603;210848.6096;458991.3068;8.967000008;210848.835;458991.8095;8.961000443;210849.0603;458992.3123;8.93599987;210849.2856;458992.8151;8.92800045;210849.5109;458993.3179;8.93500042;210849.7363;458993.8207;8.925000191;210849.9616;458994.3235;8.914999962;210850.1869;458994.8263;8.916000366;210850.4122;458995.3291;8.911999702;210850.6376;458995.8319;8.902000427;210850.8629;458996.3347;8.883000374;210851.0882;458996.8374;8.901000023;210851.3136;458997.3402;8.913000107;210851.3136;458997.3402;8.913000107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vak3;212078.1839;457582.1972;6.677000046;212078.6846;457582.1036;6.688000202;212079.1854;457582.01;6.662000179;212079.6861;457581.9164;6.665999889;212080.1869;457581.8228;6.660999775;212080.6876;457581.7292;6.656000137;212081.1883;457581.6356;6.656000137;212081.6891;457581.542;6.657999992;212082.1898;457581.4484;6.659999847;212082.6906;457581.3548;6.68900013;212083.1913;457581.2612;6.695000172;212083.6921;457581.1676;6.686999798;212084.1928;457581.074;6.684999943;212084.6936;457580.9804;6.666999817;212085.1943;457580.8868;6.65199995;212085.6951;457580.7931;6.65199995;212086.1958;457580.6995;6.643000126;212086.6966;457580.6059;6.675000191;212087.1973;457580.5123;6.670000076;212087.6981;457580.4187;6.663000107;212088.1988;457580.3251;6.626999855;212088.6996;457580.2315;6.624000072;212089.2003;457580.1379;6.625999928;212089.7011;457580.0443;6.616000175;212090.2018;457579.9507;6.637000084;212090.7026;457579.8571;6.630000114;212091.2033;457579.7635;6.605000019;212091.7041;457579.6699;6.630000114;212092.2048;457579.5763;6.698999882;212092.7056;457579.4827;6.653999805;212093.2063;457579.3891;6.764999866;212093.7071;457579.2955;6.906000137;212094.2078;457579.2018;7.107999802;212094.7086;457579.1082;7.238999844;212095.2093;457579.0146;7.40899992;212095.7101;457578.921;7.605000019;212096.2108;457578.8274;7.768000126;212096.7116;457578.7338;7.946000099;212097.2123;457578.6402;8.093000412;212097.7131;457578.5466;8.364999771;212098.2138;457578.453;8.519000053;212098.7146;457578.3594;8.74600029;212099.2153;457578.2658;8.88599968;212099.7161;457578.1722;9.093999863;212100.2168;457578.0786;9.260000229;212100.7176;457577.985;9.463999748;212101.2183;457577.8914;9.640999794;212101.7191;457577.7978;9.800999641;212102.2198;457577.7042;10.03199959;212102.7206;457577.6105;10.23099995;212103.2213;457577.5169;10.35000038;212103.7221;457577.4233;10.32699966;212104.2228;457577.3297;10.38399982;212104.7236;457577.2361;10.42199993;212105.2243;457577.1425;10.44900036;212105.7251;457577.0489;10.46800041;212106.2258;457576.9553;10.49600029;212106.7266;457576.8617;10.50699997;212107.2273;457576.7681;10.52700043;212107.7281;457576.6745;10.5369997;212108.2288;457576.5809;10.55599976;212108.7296;457576.4873;10.56499958;212109.2303;457576.3937;10.57999992;212109.7311;457576.3001;10.60499954;212110.2318;457576.2065;10.60700035;212110.7326;457576.1129;10.60400009;212111.2333;457576.0192;10.60700035;212111.7341;457575.9256;10.60400009;212112.2348;457575.832;10.60299969;212112.7356;457575.7384;10.59200001;212113.2363;457575.6448;10.59500027;212113.7371;457575.5512;10.60299969;212114.2378;457575.4576;10.59799957;212114.7386;457575.364;10.5880003;212115.2393;457575.2704;10.57999992;212115.74;457575.1768;10.56900024;212116.2408;457575.0832;10.55500031;212116.7415;457574.9896;10.54300022;212117.2423;457574.896;10.52900028;212117.743;457574.8024;10.4289999;212118.2438;457574.7088;10.21500015;212118.7445;457574.6152;9.967000008;212119.2453;457574.5216;9.699999809;212119.746;457574.428;9.418999672;212120.2468;457574.3343;9.086999893;212120.7475;457574.2407;8.807999611;212121.2483;457574.1471;8.484999657;212121.749;457574.0535;8.206999779;212122.2498;457573.9599;7.948999882;212122.7505;457573.8663;7.695000172;212123.2513;457573.7727;7.693999767;212123.752;457573.6791;7.541999817;212124.2528;457573.5855;7.440000057;212124.7535;457573.4919;7.428999901;212125.2543;457573.3983;7.40199995;212125.755;457573.3047;7.428999901;212126.2558;457573.2111;7.412000179;212126.7565;457573.1175;7.381999969;212127.2573;457573.0239;7.375;212127.758;457572.9303;7.380000114;212128.2588;457572.8367;7.393000126;212128.7595;457572.743;7.40199995;212129.2603;457572.6494;7.382999897;212129.761;457572.5558;7.379000187;212130.2618;457572.4622;7.387000084;212130.7625;457572.3686;7.401000023;212131.2633;457572.275;7.407999992;212131.764;457572.1814;7.423999786;212132.2648;457572.0878;7.44299984;212132.7655;457571.9942;7.448999882;212133.2663;457571.9006;7.454999924;212133.767;457571.807;7.467000008;212134.2678;457571.7134;7.475999832;212134.7685;457571.6198;7.489999771;212135.2693;457571.5262;7.512000084;212135.77;457571.4326;7.501999855;212136.2708;457571.339;7.493999958;212136.7715;457571.2454;7.497000217;212137.2723;457571.1517;7.506999969;212137.773;457571.0581;7.500999928;212137.773;457571.0581;7.500999928;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
