LOCATIONID;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts
Vak_41-123;180191.57;432155.66;8.448;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;180191.25;432174.8;9.2019997;-1;-1;-1;-1;-1;-1;180190.98;432190.41;14.332;-1;-1;-1;-1;-1;-1;180190.83;432198.97;14.404;-1;-1;-1;-1;-1;-1;180190.57;432214.58;10.248;-1;-1;-1;-1;-1;-1;180190.41;432223.65;9.6269999
Vak_41-122;180577.27;432133.05;8.5089998;180577.1;432137.56;8.4309998;180577.04;432139.06;7.7309999;180576.97;432141.07;7.7800002;180576.91;432142.57;8.2440004;180575.98;432166.64;9.3039999;-1;-1;-1;-1;-1;-1;180575.36;432182.69;14.347;-1;-1;-1;-1;-1;-1;180575.15;432188.2;14.383;-1;-1;-1;-1;-1;-1;180574.57;432203.25;9.2989998;-1;-1;-1;-1;-1;-1;180574.45;432206.25;9.0880003
Vak_41-121;180926.95;432009.72;9.191;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;180931.02;432024.74;10.247;-1;-1;-1;-1;-1;-1;180935.62;432041.78;14.278;-1;-1;-1;-1;-1;-1;180936.98;432046.78;14.323;-1;-1;-1;-1;-1;-1;180940.77;432060.81;9.7519999;-1;-1;-1;-1;-1;-1;180942.26;432066.32;9.6309996
Vak_41-120;181339.16;432024.98;9.2869997;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;181335.58;432037;9.927;-1;-1;-1;-1;-1;-1;181331.7;432050.01;14.373;-1;-1;-1;-1;-1;-1;181329.9;432056.02;14.343;-1;-1;-1;-1;-1;-1;181325.72;432070.04;9.8649998;-1;-1;-1;-1;-1;-1;181324.53;432074.05;9.5629997
Vak_41-119;181696.57;431920.79;8.9650002;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;181700.64;431937.91;9.9209995;181703.51;431950;13.333;181704.47;431954.03;13.786;181704.95;431956.04;14.222;-1;-1;-1;-1;-1;-1;181706.27;431961.58;14.367;-1;-1;-1;-1;-1;-1;181709.38;431974.68;10.216;-1;-1;-1;-1;-1;-1;181710.22;431978.2;10.104
