LOCATIONID;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts
12_2_14500;136130.650;536022.260;-3.590;136137.620;536021.590;-3.740;136139.133;536021.443;-4.412;136140.647;536021.297;-4.412;136142.160;536021.150;-3.260;136200.330;536015.540;-2.330;136218.740;536013.770;1.910;136223.720;536013.290;2.610;136228.690;536012.810;4.230;136228.690;536012.810;4.230;136231.178;536012.570;4.300;136231.680;536012.520;4.230;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136247.840;536010.970;-0.160;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136248.100;536010.940;-0.180
12_2_14600;136121.410;535921.820;-3.630;136128.390;535921.210;-3.730;136130.050;535921.063;-4.645;136131.710;535920.917;-4.645;136133.370;535920.770;-3.560;136196.130;535915.270;-2.490;136210.070;535914.050;1.920;136215.550;535913.570;2.960;136220.530;535913.130;4.530;136220.530;535913.130;4.530;136223.020;535912.912;4.232;136222.530;535912.960;4.340;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136238.970;535911.520;-0.160;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136239.960;535911.430;-0.360
12_2_14700;136112.390;535822.140;-3.800;136119.860;535821.490;-4.010;136120.690;535821.417;-4.720;136121.520;535821.343;-4.720;136122.850;535821.230;-3.890;136186.610;535815.700;-2.580;136201.050;535814.450;1.980;136205.040;535814.100;2.460;136211.020;535813.580;4.490;136211.020;535813.580;4.490;136213.511;535813.364;4.360;136213.510;535813.370;4.360;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136225.960;535812.290;-0.130;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136230.440;535811.900;-0.250
12_2_14800;136103.330;535723.050;-4.020;136109.800;535722.450;-3.960;136111.130;535722.330;-4.661;136112.460;535722.210;-4.661;136113.790;535722.090;-3.760;136177.520;535716.240;-2.510;136191.460;535714.960;1.880;136195.440;535714.600;2.450;136200.920;535714.090;4.460;136200.920;535714.090;4.460;136203.410;535713.862;4.540;136203.910;535713.820;4.500;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136216.850;535712.630;-0.160;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136220.840;535712.270;-0.150
12_2_14900;136094.520;535623.420;-4.150;136100.990;535622.830;-4.050;136102.650;535622.677;-4.955;136104.310;535622.523;-4.955;136105.970;535622.370;-3.860;136169.210;535616.580;-2.720;136183.150;535615.300;1.950;136187.130;535614.940;2.340;136192.610;535614.440;4.300;136192.610;535614.440;4.300;136195.100;535614.212;4.270;136195.100;535614.210;4.270;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136207.550;535613.070;-0.100;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136209.540;535612.890;-0.110
12_2_15000;136085.360;535523.720;-4.130;136092.330;535523.090;-4.190;136093.327;535523.000;-4.885;136094.323;535522.910;-4.885;136095.820;535522.770;-3.940;136160.060;535516.970;-2.480;136173.500;535515.760;1.790;136177.980;535515.350;2.310;136183.460;535514.860;4.350;136183.460;535514.860;4.350;136185.950;535514.635;4.370;136185.950;535514.630;4.370;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136198.400;535513.510;-0.140;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136202.380;535513.150;-0.260
12_2_15100;136076.150;535424.060;-4.070;136083.120;535423.440;-4.070;136084.117;535423.350;-4.640;136085.113;535423.260;-4.640;136086.110;535423.170;-4.010;136150.360;535417.420;-2.550;136164.800;535416.130;1.970;136168.780;535415.770;2.360;136174.760;535415.240;4.410;136174.760;535415.240;4.410;136177.250;535415.017;4.230;136176.750;535415.060;4.330;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136192.690;535413.630;-0.290;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136193.180;535413.590;-0.280
12_2_15200;136067.070;535325.750;-3.980;136074.530;535324.980;-4.200;136076.023;535324.830;-4.826;136077.517;535324.680;-4.826;136079.010;535324.530;-3.650;136144.170;535317.860;-1.210;136154.610;535316.800;1.780;136160.580;535316.190;2.590;136165.550;535315.680;4.320;136165.550;535315.680;4.320;136168.037;535315.426;4.241;136168.040;535315.420;4.240;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136180.970;535314.100;-0.160;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136184.950;535313.690;-0.350
12_2_15300;136057.590;535225.020;-4.040;136065.060;535224.340;-4.190;136066.387;535224.220;-5.024;136067.713;535224.100;-5.024;136070.040;535223.890;-3.670;136132.280;535218.270;-1.790;136146.230;535217.010;1.830;136149.710;535216.690;2.250;136155.690;535216.150;4.320;136155.690;535216.150;4.320;136158.180;535215.930;4.340;136158.180;535215.930;4.340;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136174.610;535214.440;-0.170;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136175.110;535214.400;-0.210
12_2_15400;136048.770;535126.190;-4.070;136056.730;535125.410;-4.380;136058.057;535125.280;-5.070;136059.383;535125.150;-5.070;136061.210;535124.970;-3.870;136123.410;535118.860;-1.890;136136.850;535117.540;1.580;136141.820;535117.050;2.220;136146.800;535116.560;4.130;136146.800;535116.560;4.130;136149.288;535116.316;4.200;136149.780;535116.270;4.100;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136161.730;535115.090;-0.110;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136166.200;535114.650;-0.350
