LOCATIONID;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts
12_2_16500;135949.160;534030.640;-3.540;135957.620;534029.810;-3.910;135958.947;534029.683;-4.645;135960.273;534029.557;-4.645;135961.600;534029.430;-3.780;136017.340;534024.000;-2.670;136037.740;534022.020;1.870;136042.720;534021.530;2.730;136047.700;534021.050;4.470;136047.700;534021.050;4.470;136050.188;534020.808;4.318;136050.180;534020.810;4.320;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136062.630;534019.590;-0.130;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136066.630;534019.210;-0.100
12_2_16600;135940.060;533931.020;-3.540;135948.030;533930.250;-3.580;135949.357;533930.123;-4.485;135950.683;533929.997;-4.485;135952.010;533929.870;-3.790;136008.240;533924.420;-2.880;136028.650;533922.440;1.600;136034.120;533921.910;2.730;136038.100;533921.530;4.270;136038.100;533921.530;4.270;136040.588;533921.289;4.250;136041.090;533921.240;4.130;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136052.540;533920.130;-0.200;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136057.510;533919.650;-0.350
12_2_16700;135930.740;533830.090;-3.610;135938.210;533829.470;-3.650;135939.707;533829.347;-4.596;135941.203;533829.223;-4.596;135942.700;533829.100;-3.740;135999.000;533824.420;-2.880;136019.430;533822.720;1.540;136023.920;533822.340;2.320;136028.900;533821.930;4.090;136028.900;533821.930;4.090;136031.391;533821.723;4.200;136031.890;533821.680;4.070;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136043.850;533820.690;-0.220;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136048.830;533820.270;-0.320
12_2_16800;135921.670;533731.220;-3.580;135929.640;533730.500;-3.650;135930.967;533730.380;-4.494;135932.293;533730.260;-4.494;135933.620;533730.140;-3.740;135990.390;533725.010;-2.790;136009.310;533723.300;1.230;136013.790;533722.900;2.210;136018.770;533722.450;4.230;136018.770;533722.450;4.230;136021.260;533722.230;4.270;136022.260;533722.140;4.180;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136034.710;533721.010;-0.230;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136039.690;533720.560;-0.330
12_2_16900;135912.650;533630.820;-3.450;135920.630;533630.160;-3.430;135922.123;533630.037;-4.384;135923.617;533629.913;-4.384;135925.110;533629.790;-3.540;135980.920;533625.210;-2.820;136000.860;533623.570;1.400;136005.340;533623.200;2.110;136010.820;533622.750;4.040;136010.820;533622.750;4.040;136013.312;533622.545;4.052;136013.312;533622.545;4.052;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136025.770;533621.520;-0.220;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136029.260;533621.230;-0.180
12_2_17000;135903.540;533531.170;-3.390;135911.020;533530.560;-3.350;135912.680;533530.423;-4.374;135914.340;533530.287;-4.374;135916.000;533530.150;-3.400;135971.810;533525.600;-2.390;135988.760;533524.220;1.590;135996.730;533523.570;2.340;136002.210;533523.130;4.310;136002.210;533523.130;4.310;136004.702;533522.927;4.072;136003.710;533523.000;4.310;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136017.160;533521.910;-0.110;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136020.790;533521.610;-0.080
12_2_17100;135894.780;533433.090;-3.310;135901.750;533432.420;-3.200;135903.243;533432.273;-4.155;135904.737;533432.127;-4.155;135906.230;533431.980;-3.310;135962.960;533426.480;-2.300;135978.890;533424.940;1.490;135988.350;533424.020;2.530;135992.820;533423.590;4.210;135992.820;533423.590;4.210;135995.308;533423.349;4.210;135995.310;533423.350;4.210;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136012.230;533421.710;-0.310;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136012.340;533421.700;-0.310
12_2_17200;135885.750;533333.790;-3.210;135893.210;533333.040;-3.070;135894.703;533332.893;-4.130;135896.197;533332.747;-4.130;135897.690;533332.600;-3.390;135953.910;533326.990;-2.450;135970.830;533325.300;1.790;135978.290;533324.550;2.300;135984.260;533323.960;4.260;135984.260;533323.960;4.260;135986.748;533323.712;4.071;135986.250;533323.760;4.180;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135998.690;533322.520;-0.200;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;136001.670;533322.220;0.080
12_2_17300;135876.660;533234.860;-3.100;135884.120;533234.070;-3.180;135885.443;533233.930;-4.128;135886.767;533233.790;-4.128;135888.590;533233.590;-3.310;135945.770;533227.510;-2.000;135961.680;533225.810;1.710;135969.140;533225.020;2.610;135975.100;533224.390;4.300;135975.100;533224.390;4.300;135977.586;533224.125;4.161;135977.586;533224.125;4.161;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135989.520;533222.850;-0.120;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135994.490;533222.320;-0.290
12_2_17400;135867.570;533134.630;-2.940;135875.030;533133.890;-3.050;135876.357;533133.757;-3.835;135877.683;533133.623;-3.835;135879.010;533133.490;-3.020;135937.220;533127.680;-1.850;135951.650;533126.230;1.740;135960.600;533125.340;2.320;135965.580;533124.840;4.100;135965.580;533124.840;4.100;135968.068;533124.592;4.100;135968.068;533124.592;4.100;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135981.500;533123.250;-0.250;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135985.980;533122.800;-0.310
12_2_17500;135858.360;533034.370;-2.610;135865.830;533033.680;-2.640;135867.323;533033.540;-3.585;135868.817;533033.400;-3.585;135870.310;533033.260;-2.730;135928.560;533027.840;-1.770;135942.000;533026.590;1.610;135951.460;533025.710;2.490;135956.440;533025.250;4.220;135956.440;533025.250;4.220;135958.929;533025.019;4.180;135958.929;533025.019;4.180;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135971.870;533023.820;-0.130;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135975.860;533023.450;-0.330
12_2_17600;135848.950;532934.110;-2.650;135856.920;532933.430;-2.760;135858.250;532933.317;-3.506;135859.580;532933.203;-3.506;135860.910;532933.090;-2.650;135916.700;532928.300;-1.520;135926.670;532927.440;1.010;135941.110;532926.200;2.090;135947.590;532925.650;4.240;135947.590;532925.650;4.240;135950.080;532925.430;4.100;135949.580;532925.480;4.200;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135963.530;532924.280;-0.200;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135966.020;532924.070;-0.170
12_2_17700;135839.830;532833.850;-2.530;135847.310;532833.260;-2.430;135848.803;532833.140;-3.419;135850.297;532833.020;-3.419;135851.790;532832.900;-2.610;135915.600;532827.860;-0.920;135925.070;532827.120;1.530;135932.540;532826.530;2.220;135938.520;532826.050;4.290;135938.520;532826.050;4.290;135941.012;532825.853;4.152;135941.012;532825.853;4.152;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135957.740;532824.540;-0.270;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135957.960;532824.520;-0.280
12_2_17800;135831.010;532735.410;-2.580;135838.480;532734.730;-2.670;135839.973;532734.593;-3.480;135841.467;532734.457;-3.480;135842.960;532734.320;-2.490;135899.730;532729.170;-1.250;135915.160;532727.770;1.460;135924.130;532726.960;2.300;135929.100;532726.510;4.120;135929.100;532726.510;4.120;135931.590;532726.280;4.160;135932.090;532726.240;4.050;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135945.040;532725.070;-0.140;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135949.200;532724.690;-0.240
12_2_17900;135821.930;532635.830;-2.550;135829.900;532635.110;-2.500;135831.227;532634.990;-3.384;135832.553;532634.870;-3.384;135833.880;532634.750;-2.670;135895.630;532629.140;-0.720;135906.090;532628.190;1.370;135914.550;532627.420;2.050;135920.530;532626.880;4.200;135920.530;532626.880;4.200;135923.020;532626.654;4.110;135923.020;532626.654;4.110;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135934.470;532625.610;-0.100;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135939.450;532625.160;-0.280
12_2_18000;135812.920;532537.390;-2.640;135820.380;532536.630;-2.860;135821.433;532536.520;-3.525;135822.487;532536.410;-3.525;135823.540;532536.300;-2.920;135885.040;532530.010;-1.020;135897.480;532528.730;1.530;135904.940;532527.970;1.930;135911.400;532527.310;4.210;135911.400;532527.310;4.210;135913.887;532527.055;4.101;135913.890;532527.050;4.100;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135926.330;532525.780;-0.180;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135930.800;532525.320;-0.310
12_2_18100;135803.800;532439.100;-2.760;135817.710;532437.500;-2.930;135818.867;532437.367;-3.654;135820.023;532437.233;-3.654;135821.180;532437.100;-2.980;135873.830;532431.030;-1.210;135884.260;532429.830;1.040;135896.190;532428.450;1.960;135902.150;532427.760;4.140;135902.150;532427.760;4.140;135904.634;532427.474;4.149;135904.630;532427.480;4.150;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135917.050;532426.040;-0.130;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135920.520;532425.640;-0.230
12_2_18200;135794.630;532336.990;-4.180;135811.070;532335.520;-4.210;135816.880;532334.997;-5.700;135822.690;532334.473;-5.700;135828.500;532333.950;-4.190;135862.860;532330.860;-2.610;135876.300;532329.660;1.270;135886.260;532328.760;1.610;135892.740;532328.180;4.100;135892.740;532328.180;4.100;135895.230;532327.960;4.110;135896.220;532327.870;3.980;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135907.680;532326.840;-0.150;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135912.160;532326.440;-0.290
12_2_18400;135777.090;532140.210;-5.050;135799.440;532137.660;-4.490;135806.400;532136.860;-5.420;135827.260;532134.480;-5.390;135828.250;532134.370;-4.660;135844.650;532132.500;-4.170;135856.070;532131.190;0.090;135866.010;532130.060;0.400;135874.950;532129.040;3.740;135874.950;532129.040;3.740;135877.434;532128.756;3.780;135877.434;532128.756;3.780;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135891.340;532127.160;-0.200;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135891.430;532127.150;-0.200
12_2_18500;135767.820;532042.950;-2.360;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135842.620;532032.670;-0.940;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135855.500;532030.900;3.450;135855.500;532030.900;3.450;135857.977;532030.560;3.610;135867.880;532029.190;3.980;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135882.250;532027.220;-0.200;-1.000;-1.000;-1.000;-1.000;-1.000;-1.000;135883.730;532027.020;-0.240
