"TrajectID";"MechanismID";"SubMechanismID";"Rekenmethode";"FORM_StartMethod";"FORM_NrIterations";"FORM_RelaxationFactor";"FORM_EpsBeta";"FORM_EpsHOH";"FORM_EpsZFunc";"Ds_StartMethod";"Ds_Min";"Ds_Max";"Ds_VarCoefficient";"NI_UMin";"NI_Umax";"NI_NumberSteps"
"52-1";11;16;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"52-1";3;3;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"52-1";101;102;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"52-1";1;1;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"52-1";11;11;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"52-1";11;14;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"52-2";1;1;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52-2";11;11;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52-2";11;14;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52-2";11;16;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52-2";3;5;4;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52-2";101;102;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52-2";101;103;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52-3";1;1;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52-3";11;11;12;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52-3";11;14;12;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52-3";11;16;12;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52-3";3;5;4;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52-3";101;102;12;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52-3";101;103;12;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52-4";1;1;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52-4";11;11;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52-4";11;14;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52-4";11;16;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52-4";3;5;4;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52-4";101;102;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52-4";101;103;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52a-1";1;1;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52a-1";11;11;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52a-1";11;14;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52a-1";11;16;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52a-1";3;5;4;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52a-1";101;102;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"52a-1";101;103;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"87-1";11;11;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"87-1";11;14;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"87-1";11;16;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"87-1";3;3;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"87-1";101;102;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"87-1";1;1;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"87-1";11;11;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"1-1";11;14;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"1-1";11;16;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"1-1";3;3;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"1-1";101;102;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"1-1";1;1;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"1-1";11;11;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"1-1";11;14;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"1-2";11;16;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"1-2";3;3;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"1-2";101;102;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"1-2";1;1;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"1-2";11;11;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"1-2";11;14;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"1-2";11;16;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"10-1";1;1;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"10-1";11;11;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"10-1";11;14;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"10-1";11;16;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"10-1";3;5;4;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"10-1";101;102;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"10-1";101;103;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"10-2";1;1;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"10-2";11;11;12;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"10-2";11;14;12;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"10-2";11;16;12;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"10-2";3;5;4;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"10-2";101;102;12;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"10-2";101;103;12;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"10-3";1;1;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"10-3";11;11;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"10-3";11;14;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"10-3";11;16;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"10-3";3;5;4;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"10-3";101;102;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"10-3";101;103;1;9;150;0.15;0.01;0.01;0.01;2;3000;10000;0.1;-6;6;25
"12-1";11;11;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"12-1";11;14;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"12-1";11;16;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"12-1";3;3;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"12-1";101;102;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"12-1";1;1;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"12-1";11;11;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"12-2";11;14;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"12-2";11;16;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"12-2";3;3;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"12-2";101;102;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"12-2";1;1;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"12-2";11;11;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"12-2";11;14;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-1";11;16;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-1";3;3;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-1";101;102;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-1";1;1;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-1";11;11;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-1";11;14;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-1";11;16;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-2";3;3;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-2";101;102;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-2";1;1;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-2";11;11;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-2";11;14;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-2";11;16;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-2";3;3;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-3";101;102;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-3";1;1;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-3";11;11;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-3";11;14;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-3";11;16;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-3";3;3;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-3";101;102;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-4";1;1;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-4";11;11;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-4";11;14;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-4";11;16;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-4";3;3;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-4";101;102;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
"13-4";1;1;1;4;50;0.15;0.01;0.01;0.01;2;20000;100000;0.1;-6;6;25
