"TrajectID";"Variabele";"TimeIntegrationSchemeID"
"8-3b";"KwSluiten";1
"8-3b";"KwPuntconstructies";1
"8-4";"Toetspeil";1
"8-4";"Q";2
"8-4";"Hs";1
"8-4";"Tp";1
"8-4";"Tm-1,0";1
"8-4";"HBN";1
"8-4";"Gras";1
"8-4";"KwHoogte";1
"8-4";"KwSluiten";1
"8-4";"KwPuntconstructies";1
"8-5";"Toetspeil";1
"8-5";"Q";1
"8-5";"Hs";1
"8-5";"Tp";1
"8-5";"Tm-1,0";1
"8-5";"HBN";1
"8-5";"Gras";1
"8-5";"KwHoogte";1
"8-5";"KwSluiten";1
"8-5";"KwPuntconstructies";1
"8-6";"Toetspeil";1
"8-6";"Q";1
"8-6";"Hs";1
"8-6";"Tp";1
"8-6";"Tm-1,0";1
"8-6";"HBN";1
"8-6";"Gras";1
"8-6";"KwHoogte";1
"8-6";"KwSluiten";1
"8-6";"KwPuntconstructies";1
"8-7";"Toetspeil";1
"8-7";"Q";1
"8-7";"Hs";1
"8-7";"Tp";1
"8-7";"Tm-1,0";1
"8-7";"HBN";1
"8-7";"Gras";1
"8-7";"KwHoogte";1
"8-7";"KwSluiten";1
"8-7";"KwPuntconstructies";1
"9-1";"Toetspeil";1
"9-1";"Q";3
"9-1";"Hs";3
"9-1";"Tp";3
"9-1";"Tm-1,0";3
"9-1";"HBN";3
"9-1";"Gras";3
"9-1";"KwHoogte";3
"9-1";"KwSluiten";3
"9-1";"KwPuntconstructies";3
"9-2";"Toetspeil";1
"9-2";"Q";3
"9-2";"Hs";3
"9-2";"Tp";3
"9-2";"Tm-1,0";3
"9-2";"HBN";3
"9-2";"Gras";3
"9-2";"KwHoogte";3
"9-2";"KwSluiten";3
"9-2";"KwPuntconstructies";3
"10-1";"Toetspeil";1
"10-1";"Q";3
"10-1";"Hs";3
"10-1";"Tp";3
"10-1";"Tm-1,0";3
"10-1";"HBN";3
"10-1";"Gras";3
"10-1";"KwHoogte";3
"10-1";"KwSluiten";3
"10-1";"KwPuntconstructies";3
"10-2";"Toetspeil";1
"10-2";"Q";1
"10-2";"Hs";1
"10-2";"Tp";1
"10-2";"Tm-1,0";1
"10-2";"HBN";1
"10-2";"Gras";1
"10-2";"KwHoogte";1
"10-2";"KwSluiten";1
"10-2";"KwPuntconstructies";1
"10-3";"Toetspeil";1
"10-3";"Q";3
"10-3";"Hs";3
"10-3";"Tp";3
"10-3";"Tm-1,0";3
"10-3";"HBN";3
"10-3";"Gras";3
"10-3";"KwHoogte";3
"10-3";"KwSluiten";3
"10-3";"KwPuntconstructies";3
"11-1";"Toetspeil";1
"11-1";"Q";1
"11-1";"Hs";3
"11-1";"Tp";3
"11-1";"Tm-1,0";3
"11-1";"HBN";3
"11-1";"Gras";3
"11-1";"KwHoogte";3
"11-1";"KwSluiten";3
"11-1";"KwPuntconstructies";3
"11-2";"Toetspeil";1
"11-2";"Q";2
"11-2";"Hs";3
"11-2";"Tp";3
"11-2";"Tm-1,0";3
"11-2";"HBN";3
"11-2";"Gras";3
"11-2";"KwHoogte";3
"11-2";"KwSluiten";3
"11-2";"KwPuntconstructies";3
"11-3";"Toetspeil";1
"11-3";"Q";1
"11-3";"Hs";1
"11-3";"Tp";1
"11-3";"Tm-1,0";1
"11-3";"HBN";1
"11-3";"Gras";1
"11-3";"KwHoogte";1
"11-3";"KwSluiten";1
"11-3";"KwPuntconstructies";1
"12-1";"Toetspeil";1
"12-1";"Q";1
"12-1";"Hs";1
"12-1";"Tp";1
"12-1";"Tm-1,0";1
"12-1";"HBN";1
"12-1";"Gras";1
"12-1";"KwHoogte";1
"12-1";"KwSluiten";1
"12-1";"KwPuntconstructies";1
"12-2";"Toetspeil";1
"12-2";"Q";2
"12-2";"Hs";1
"12-2";"Tp";1
"12-2";"Tm-1,0";1
"12-2";"HBN";1
"12-2";"Gras";1
"12-2";"KwHoogte";1
"12-2";"KwSluiten";1
"12-2";"KwPuntconstructies";1
"13-1";"Toetspeil";1
"13-1";"Q";1
"13-1";"Hs";1
"13-1";"Tp";1
"13-1";"Tm-1,0";1
"13-1";"HBN";1
"13-1";"Gras";1
"13-1";"KwHoogte";1
"13-1";"KwSluiten";1
"13-1";"KwPuntconstructies";1
"13-2";"Toetspeil";1
"13-2";"Q";1
"13-2";"Hs";1
"13-2";"Tp";1
"13-2";"Tm-1,0";1
"13-2";"HBN";1
"13-2";"Gras";1
"13-2";"KwHoogte";1
"13-2";"KwSluiten";1
"13-2";"KwPuntconstructies";1
"13-3";"Toetspeil";1
"13-3";"Q";1
"13-3";"Hs";1
"13-3";"Tp";1
"13-3";"Tm-1,0";1
"13-3";"HBN";1
"13-3";"Gras";1
"13-3";"KwHoogte";1
"13-3";"KwSluiten";1
"13-3";"KwPuntconstructies";1
"13-4";"Toetspeil";1
"13-4";"Q";1
"13-4";"Hs";1
"13-4";"Tp";1
"13-4";"Tm-1,0";1
"13-4";"HBN";1
"13-4";"Gras";1
"13-4";"KwHoogte";1
"13-4";"KwSluiten";1
"13-4";"KwPuntconstructies";1
